npc,role,size,file_path,faction,image_fill_height,image_y_offset
ace,striker,1,res/lancer/images/pishly_npc/Ace.png,,
aegis,support,1,res/lancer/images/pishly_npc/Aegis.png,,
archer,controller,1,res/lancer/images/pishly_npc/Archer.png,,
assassin,striker,0.5,res/lancer/images/pishly_npc/Assassin.png,,
assault,striker,1,res/lancer/images/pishly_npc/Assault.png,,
barricade,controller,2,res/lancer/images/pishly_npc/Barricade.png,,
bastion,defender,2,res/lancer/images/pishly_npc/Bastion.png,,
bombard,artillery,1,res/lancer/images/pishly_npc/Bombard.png,,
breacher,striker,1,res/lancer/images/pishly_npc/Breacher.png,,
cataphract,striker,1,res/lancer/images/pishly_npc/Cataphract.png,,
demolisher,defender,2,res/lancer/images/pishly_npc/Demolisher.png,,
engineer,striker,1,res/lancer/images/pishly_npc/Engineer.png,,
goliath,defender,3,res/lancer/images/pishly_npc/Goliath.png,,
hive,controller,1,res/lancer/images/pishly_npc/Hive.png,,
hornet,controller,0.5,res/lancer/images/pishly_npc/Hornet.png,,
mirage,support,0.5,res/lancer/images/pishly_npc/Mirage.png,,
operator,artillery,1,res/lancer/images/pishly_npc/Operator.png,,
priest,support,0.5,res/lancer/images/pishly_npc/Priest.png,,
pyro,defender,1,res/lancer/images/pishly_npc/Pyro.png,,
rainmaker,artillery,1,res/lancer/images/pishly_npc/Rainmaker.png,,
ronin,striker,1,res/lancer/images/pishly_npc/Ronin.png,,false,0.05
scourer,striker,1,res/lancer/images/pishly_npc/Scourer.png,,
scout,support,0.5,res/lancer/images/pishly_npc/Scout.png,,
spite,defender,2,res/lancer/images/pishly_npc/Spite.png,,false,-0.05
seeder,controller,1,res/lancer/images/pishly_npc/Seeder.png,,
sentinel,defender,1,res/lancer/images/pishly_npc/Sentinel.png,,
sniper,artillery,1,res/lancer/images/pishly_npc/Sniper.png,,
specter,striker,1,res/lancer/images/pishly_npc/Specter.png,,
support,support,2,res/lancer/images/pishly_npc/Support.png,,false,0.05
witch,controller,0.5,res/lancer/images/pishly_npc/Witch.png,,
