file_path,size,role,faction,image_fill_height,image_y_offset
res/lancer/images/pishly_npc_factions/Cephalapunk_Assassin.png,"0.5",striker,cephalapunk
res/lancer/images/pishly_npc_factions/Cephalapunk_Barricade.png,2,controller,cephalapunk
res/lancer/images/pishly_npc_factions/Cephalapunk_Goliath.png,3,defender,cephalapunk
res/lancer/images/pishly_npc_factions/Cephalapunk_Leech.png,1,support,cephalapunk
res/lancer/images/pishly_npc_factions/Cephalapunk_Sentinel.png,1,defender,cephalapunk
res/lancer/images/pishly_npc_factions/Hellrunner_Cataphract.png,1,striker,hellrunner
res/lancer/images/pishly_npc_factions/Hellrunner_Mirage.png,0.5,support,hellrunner
res/lancer/images/pishly_npc_factions/Hellrunner_Scourer.png,1,striker,hellrunner,false,-0.05
res/lancer/images/pishly_npc_factions/Hellrunner_Scourer.png,2,defender,hellrunner,false,-0.06
res/lancer/images/pishly_npc_factions/Hellrunner_Scout.png,0.5,support,hellrunner
res/lancer/images/pishly_npc_factions/Hellrunner_Sniper.png,1,artillery,hellrunner
res/lancer/images/pishly_npc_factions/Morningstar_Engineer.png,1,striker,morningstar
res/lancer/images/pishly_npc_factions/Morningstar_Hornet.png,1,controller,morningstar
res/lancer/images/pishly_npc_factions/Morningstar_Rainmaker.png,1,artillery,morningstar
res/lancer/images/pishly_npc_factions/Morningstar_Specter.png,1,striker,morningstar
res/lancer/images/pishly_npc_factions/Morningstar_Strider.png,1,striker,morningstar,true
res/lancer/images/pishly_npc_factions/Morningstar_Strider.png,2,defender,morningstar,true
res/lancer/images/pishly_npc_factions/Parallax_Aegis.png,1,support,parallax
res/lancer/images/pishly_npc_factions/Parallax_Operator.png,1,artillery,parallax
res/lancer/images/pishly_npc_factions/Parallax_Priest.png,1,support,parallax
res/lancer/images/pishly_npc_factions/Parallax_Spite.png,2,defender,parallax
res/lancer/images/pishly_npc_factions/Parallax_Witch.png,1,controller,parallax
res/lancer/images/pishly_npc_factions/Raider_Assault.png,1,striker,raider,true
res/lancer/images/pishly_npc_factions/Raider_Breacher.png,1,striker,raider,true
res/lancer/images/pishly_npc_factions/Raider_Hive.png,1,controller,raider
res/lancer/images/pishly_npc_factions/Raider_Pyro.png,1,defender,raider
res/lancer/images/pishly_npc_factions/Raider_Ronin.png,1,striker,raider,true
res/lancer/images/pishly_npc_factions/Verdant_Ace.png,1,striker,verdant,true
res/lancer/images/pishly_npc_factions/Verdant_Archer.png,1,controller,verdant,true
res/lancer/images/pishly_npc_factions/Verdant_Bastion.png,2,defender,verdant
res/lancer/images/pishly_npc_factions/Verdant_Berserker.png,1,striker,verdant,true
res/lancer/images/pishly_npc_factions/Verdant_Seeder.png,1,controller,verdant,true
